Locus	Nr of genes in locus	Chromosome and position	Ensembl Gene ID	Gene symbol	Nominal P value	Gene closest to lead SNP	Gene bio-type	Top cis eQTL SNP (Westra et al. Nature Genetics 2014)	False discovery rate < 5%
rs17122571	8	chr12:48366748-48745197	ENSG00000152556	PFKM	0.4022499918780612	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs7134878	No
rs6057110	1	chr20:10015689-10037410	ENSG00000132623	ANKRD5	0.4055196396499097	true	protein_coding+processed_transcript	rs883382	No
rs11568311	12	chr16:66754796-67043661	ENSG00000135720	DYNC1LI2	0.4124325266145621	false	protein_coding	rs12600097	No
rs2066827	1	chr12:12867992-12875305	ENSG00000111276	CDKN1B	0.4170460797549571	true	processed_transcript+protein_coding	rs34329;rs11055034	No
rs3829166	14	chr10:74766975-75385711	ENSG00000122884	P4HA1	0.4242271164494409	false	protein_coding+processed_transcript	-	No
rs2191139;rs8107333;rs8112363	2	chr19:41937224-42093197	ENSG00000007129	CEACAM21	0.4252073865452029	false	retained_intron+processed_transcript+protein_coding+nonsense_mediated_decay	rs3745936	No
rs7567304	2	chr2:10710892-10831957	ENSG00000243819	-	0.42845487695547796	false	scRNA_pseudogene	-	No
rs6512130	6	chr19:9434873-9650402	ENSG00000130818	ZNF426	0.43389434467569277	false	protein_coding	rs7255853	No
rs6512130	6	chr19:9434873-9650402	ENSG00000188321	ZNF559	0.43573077897610457	false	protein_coding	rs12150875	No
rs12653946	1	chr5:1887446-1900607	ENSG00000249326	-	0.45141222392045455	true	antisense	-	No
rs2130779;rs4468286	1	chr10:122938214-122945480	ENSG00000227143	-	0.4556277024870403	true	lincRNA	-	No
rs2454107	4	chr5:148651434-148783765	ENSG00000127743	IL17B	0.4617679373491459	false	processed_transcript+protein_coding	-	No
rs1436642;rs17023964;rs17024046;rs1809632;rs6551427;rs6769886;rs6788255;rs6798262	2	chr3:87276421-87325737	ENSG00000064835	POU1F1	0.46226681507265527	false	protein_coding	-	No
rs7894521	1	chr10:11784365-11806069	ENSG00000134463	ECHDC3	0.46341692927875044	false	protein_coding+processed_transcript	rs3829154	No
rs3829166	14	chr10:74766975-75385711	ENSG00000244365	-	0.4653383850454651	false	processed_transcript	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000156042	TTC18	0.46764576148761827	false	protein_coding+processed_transcript	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000162614	NEXN	0.4712146914888007	false	protein_coding+processed_transcript	rs1166698	No
rs11247571	1	chr17:906758-1090616	ENSG00000159842	ABR	0.4761356538568701	true	protein_coding	rs2440743;rs2262156	No
rs6573971	5	chr14:70792102-71067384	ENSG00000133983	COX16	0.4819312174629344	false	protein_coding+processed_transcript+nonsense_mediated_decay	rs12889575	No
rs11689112	1	chr2:120997640-121052285	ENSG00000144118	RALB	0.48276369128408475	true	protein_coding+nonsense_mediated_decay+processed_transcript	rs2289172	No
rs1534642	3	chr4:74347400-74486348	ENSG00000079557	AFM	0.5060473163466592	false	protein_coding+retained_intron	-	No
rs4698932	1	chr4:106067032-106200973	ENSG00000168769	TET2	0.522617971398101	true	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000107758	PPP3CB	0.5361066563759822	false	protein_coding+processed_transcript	-	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000099337	KCNK6	0.5527472846556969	false	protein_coding	rs12608722	No
rs6702939	9	chr1:77747736-78604133	ENSG00000162616	DNAJB4	0.5562608206597415	false	processed_transcript+protein_coding	-	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000138111	TMEM180	0.5569833012444971	true	protein_coding+processed_transcript	rs3740416	No
rs12771627;rs12782469;rs4962416	2	chr10:126630692-126849739	ENSG00000019995	ZRANB1	0.5630612816935647	false	protein_coding+processed_transcript	rs4962411	No
rs2412106	5	chr14:65213002-65569413	ENSG00000139998	RAB15	0.5631089585475858	true	protein_coding+processed_transcript+retained_intron	rs4899161	No
rs6512130	6	chr19:9434873-9650402	ENSG00000174652	ZNF266	0.5657979712097443	true	protein_coding	rs8107606;rs6512121	No
rs1341051	4	chr10:112629626-112773425	ENSG00000203497	-	0.5661051489520906	false	antisense	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000077254	USP33	0.5677835557385467	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs872342	No
rs3897474	1	chr13:95226308-95248511	ENSG00000088451	TGDS	0.5767420915204158	true	protein_coding+processed_transcript+retained_intron	rs9524526	No
rs9925556	2	chr16:2867164-2882285	ENSG00000162078	ZG16B	0.5874925551041146	true	protein_coding	rs1541449	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168890	TMEM150A	0.5981807338596629	false	protein_coding+retained_intron+nonsense_mediated_decay	-	No
rs6799720	2	chr3:145782358-145881440	ENSG00000152952	PLOD2	0.6056578924056305	true	protein_coding+retained_intron+nonsense_mediated_decay	rs11928424;rs2089965	No
rs847377	1	chr7:16899029-16921611	ENSG00000173467	AGR3	0.6065583776361776	true	protein_coding+retained_intron	rs3807496	No
rs1320961	2	chr6:135281516-135540311	ENSG00000118513	MYB	0.6235377475269986	true	protein_coding+nonsense_mediated_decay+processed_transcript	rs7757388	No
rs11568311	12	chr16:66754796-67043661	ENSG00000258122	-	0.6243245520720574	false	processed_transcript	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000166592	RRAD	0.6265210367966603	false	protein_coding	-	No
rs12360799	1	chr11:10594638-10715535	ENSG00000072952	MRVI1	0.6410075008030883	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs11042883	No
rs11168936;rs11168962	2	chr12:49582519-49676768	ENSG00000257960	-	0.6412126620044176	true	lincRNA	-	No
rs1218582;rs1891805	3	chr1:154679902-154928599	ENSG00000163346	PBXIP1	0.6493668709702549	false	protein_coding+processed_transcript+nonsense_mediated_decay	rs869506	No
rs10936845	1	chr3:174156363-175523428	ENSG00000177694	NAALADL2	0.6608044202970311	true	processed_transcript+retained_intron+protein_coding+nonsense_mediated_decay	rs4280646	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000112096	SOD2	0.6648162608208938	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs7855;rs7755113	No
rs2555004	1	chr12:114791736-114846247	ENSG00000089225	TBX5	0.6703721941485025	true	protein_coding+processed_transcript	rs1896001	No
rs1341051	4	chr10:112629626-112773425	ENSG00000214413	BBIP1	0.673475155236836	false	protein_coding+nonsense_mediated_decay+retained_intron	-	No
rs17122571	8	chr12:48366748-48745197	ENSG00000139219	COL2A1	0.674103455758256	false	protein_coding+processed_transcript+retained_intron	-	No
rs1476161	8	chr17:8043809-8173809	ENSG00000178977	LINC00324	0.6851193223932268	false	antisense	rs3027246	No
rs868868	4	chr1:151735445-151804348	ENSG00000143450	OAZ3	0.6900001014232653	false	protein_coding+processed_transcript	-	No
rs6545977	4	chr2:62900986-64054977	ENSG00000115504	EHBP1	0.691798154042834	false	protein_coding+retained_intron+processed_transcript	-	No
rs7934971	1	chr11:58938903-58976060	ENSG00000110042	DTX4	0.7018586225979034	true	protein_coding+processed_transcript+retained_intron	-	No
rs11765552;rs11768309;rs6465658;rs6967926;rs6977321;rs7804318;rs7808528	3	chr7:97736197-97922275	ENSG00000205356	TECPR1	0.7058507639053782	false	protein_coding+retained_intron+processed_transcript	-	No
rs2274911;rs339331;rs339343	2	chr6:117113248-117253326	ENSG00000185002	RFX6	0.7173849043142734	true	retained_intron+protein_coding+processed_transcript	-	No
rs6512130	6	chr19:9434873-9650402	ENSG00000188629	ZNF559-ZNF177	0.7177261774095723	false	protein_coding	rs6512109	No
rs12155172	1	chr7:20821903-20826505	ENSG00000164651	SP8	0.724778191724683	true	protein_coding	rs6959944	No
rs12938215	5	chr17:35441923-35969488	ENSG00000161326	DUSP14	0.7302251205294805	false	protein_coding+retained_intron	rs2522972	No
rs11568311	12	chr16:66754796-67043661	ENSG00000246777	-	0.7348177895111311	false	lincRNA	-	No
rs11489585	5	chr7:77166592-77586818	ENSG00000135211	TMEM60	0.7398972542347723	false	protein_coding	rs7953	No
rs6121589	1	chr20:60985293-61002589	ENSG00000130701	C20orf151	0.7551033858124464	true	protein_coding	-	No
rs912353	3	chr9:127019885-127177723	ENSG00000227200	-	0.7571747900452395	false	sense_intronic	-	No
rs9623117	2	chr22:40440821-40731811	ENSG00000228599	-	0.763684097669689	false	processed_pseudogene	-	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000163131	CTSS	0.7662309744593544	true	protein_coding+processed_transcript	rs2867301	No
rs10755578;rs1112444;rs376563;rs487060;rs505870;rs518295;rs539958;rs622217;rs668871;rs675162;rs9364558	4	chr6:160769300-161087407	ENSG00000198670	LPA	0.7963997875687514	true	protein_coding+processed_transcript	-	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168899	VAMP5	0.804414125178186	false	protein_coding+retained_intron	rs10202828	No
rs11489585	5	chr7:77166592-77586818	ENSG00000214293	-	0.8084137864428889	true	processed_transcript	-	No
rs3746337	6	chr20:25176329-25604811	ENSG00000197586	ENTPD6	0.8260150817928087	true	protein_coding+processed_transcript	-	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000146453	PNLDC1	0.8311376959524432	false	protein_coding	-	No
rs6011058	2	chr20:62329996-62370456	ENSG00000197114	ZGPAT	0.8316405737325211	true	protein_coding+retained_intron+processed_transcript	rs2261092;rs6062509;rs2738768;rs817317	No
rs6545977	4	chr2:62900986-64054977	ENSG00000143951	WDPCP	0.8328055988050029	false	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	-	No
rs8069005	6	chr17:28521337-28903499	ENSG00000197689	TBC1D29	0.8364595244776156	false	protein_coding	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000172831	CES2	0.8367613056130605	true	protein_coding	rs6499106	No
rs1242112	1	chr14:93170152-93215047	ENSG00000100600	LGMN	0.837222881340828	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	-	No
rs1800057	5	chr11:107879459-108338258	ENSG00000166323	C11orf65	0.8462808107603832	false	protein_coding+nonsense_mediated_decay+processed_transcript	rs4988023	No
rs3829166	14	chr10:74766975-75385711	ENSG00000166321	NUDT13	0.8489825311592126	true	processed_transcript+protein_coding	rs11000556	No
rs6512130	6	chr19:9434873-9650402	ENSG00000247585	-	0.8533044783580988	false	lincRNA	-	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000115486	GGCX	0.8648438173975614	true	processed_transcript+protein_coding+nonsense_mediated_decay	rs12714147	No
rs651164	1	chr6:160542821-160579750	ENSG00000175003	SLC22A1	0.865708368716585	true	protein_coding+nonsense_mediated_decay+retained_intron	rs2297372;rs662301	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000167641	PPP1R14A	0.8685038715964584	true	protein_coding	rs1821284	No
rs8069005	6	chr17:28521337-28903499	ENSG00000108576	SLC6A4	0.8758029006300796	false	protein_coding	-	No
rs3746337	6	chr20:25176329-25604811	ENSG00000100997	ABHD12	0.8798788042516158	false	protein_coding+processed_transcript	rs1541061;rs2050097	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143387	CTSK	0.8839172116476287	true	protein_coding+processed_transcript	rs11204725	No
rs8134378;rs914187	4	chr21:38437942-45746674	ENSG00000182240	BACE2	0.8868277725609874	true	protein_coding+processed_transcript+retained_intron	rs2837964;rs2705572	No
rs10460109	1	chr18:72922710-73001905	ENSG00000179981	TSHZ1	0.8920016023472713	true	protein_coding	-	No
rs8072254	1	chr17:68164814-68176160	ENSG00000123700	KCNJ2	0.8925267475159047	true	protein_coding	rs4968799	No
rs10755578;rs1112444;rs376563;rs487060;rs505870;rs518295;rs539958;rs622217;rs668871;rs675162;rs9364558	4	chr6:160769300-161087407	ENSG00000256731	-	0.8938486449583402	false	pseudogene	-	No
rs8069005	6	chr17:28521337-28903499	ENSG00000108582	CPD	0.8957778365758626	false	protein_coding	-	No
rs6545977	4	chr2:62900986-64054977	ENSG00000115507	OTX1	0.8977104440160364	true	protein_coding+retained_intron+nonsense_mediated_decay	rs17407696	No
rs3798439	4	chr6:76005626-76629254	ENSG00000118407	FILIP1	0.8979156727542004	false	protein_coding+processed_transcript	-	No
rs8134378;rs914187	4	chr21:38437942-45746674	ENSG00000160183	TMPRSS3	0.8998224927865952	true	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	rs2277798;rs2839502;rs1788454	No
rs3829166	14	chr10:74766975-75385711	ENSG00000227540	-	0.9035999660091603	false	processed_transcript	-	No
rs2011345	1	chr1:171283347-171311223	ENSG00000076258	FMO4	0.9125260769589576	true	processed_transcript+protein_coding	rs1018392;rs11803918	No
rs7992643	1	chr13:100258919-100549387	ENSG00000125246	CLYBL	0.9146339867621207	true	protein_coding	rs1107450	No
rs2412106	5	chr14:65213002-65569413	ENSG00000070182	SPTB	0.9194728084017308	false	processed_transcript+protein_coding+retained_intron	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000154027	AK5	0.9198095048759347	false	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	rs4949655;rs4949655	No
rs6702939	9	chr1:77747736-78604133	ENSG00000180488	FAM73A	0.9205255163247137	false	protein_coding+processed_transcript	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000221817	-	0.9212894669560583	false	antisense	rs12462622	No
rs8069005	6	chr17:28521337-28903499	ENSG00000231421	-	0.9232763110296829	false	protein_coding	-	No
rs13395911	1	chr2:233470767-233547491	ENSG00000115468	EFHD1	0.9267772169966477	true	protein_coding+nonsense_mediated_decay	rs7578760	No
rs1571805	1	chr9:124329336-124547809	ENSG00000136848	DAB2IP	0.9330604663984297	true	protein_coding+processed_transcript	rs2797347;rs12352132	No
rs1250105	6	chr4:1160720-1381837	ENSG00000249548	-	0.9331333754470672	false	antisense	-	No
rs17239945	1	chr8:25699246-25902913	ENSG00000221818	EBF2	0.9335252196442793	true	protein_coding+retained_intron	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000138286	FAM149B1	0.9361893628152279	false	protein_coding+processed_transcript	-	No
rs6673687;rs708723	4	chr1:205626979-205782876	ENSG00000133065	SLC41A1	0.9404584474474759	false	protein_coding+processed_transcript	rs823080	No
rs11568311	12	chr16:66754796-67043661	ENSG00000172824	CES4A	0.9501769090493529	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	-	No
rs11986220;rs6983267	1	chr8:128698588-128746213	ENSG00000249375	-	0.951484100856682	true	processed_transcript	-	No
rs11489585	5	chr7:77166592-77586818	ENSG00000006576	PHTF2	0.9516274793835167	false	protein_coding+processed_transcript+retained_intron	-	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000099338	CATSPERG	0.9555434467316836	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	-	No
rs4490165;rs7577534	2	chr2:62727356-62889789	ENSG00000186889	TMEM17	0.9573132951494947	true	protein_coding+retained_intron	-	No
rs17122571	8	chr12:48366748-48745197	ENSG00000257955	-	0.9600494805127874	true	protein_coding	-	No
rs10486567;rs7808935	1	chr7:27870192-28220362	ENSG00000153814	JAZF1	0.961851358523469	true	protein_coding+processed_transcript+nonsense_mediated_decay	rs2110524	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000248003	-	0.9646965350520887	true	lincRNA	-	No
rs12631116	1	chr3:195590235-195638816	ENSG00000061938	TNK2	0.9664271547175414	true	protein_coding+retained_intron+processed_transcript+nonsense_mediated_decay	rs7610260	No
rs9925556	2	chr16:2867164-2882285	ENSG00000007038	PRSS21	0.9714418745721434	false	protein_coding	rs12709125;rs7184322	No
rs1476161	8	chr17:8043809-8173809	ENSG00000220205	VAMP2	0.9726572398629323	false	processed_transcript+protein_coding+retained_intron	rs3027251	No
rs11980923	1	chr7:90013035-90142716	ENSG00000157224	CLDN12	0.9755950620183375	true	protein_coding+retained_intron+processed_transcript	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000236756	C10orf103	0.9802914962743572	false	protein_coding	-	No
rs10100297	2	chr8:89044237-89749363	ENSG00000156103	MMP16	0.9822440331673554	true	protein_coding+processed_transcript+retained_intron	rs17728649	No
rs6573971	5	chr14:70792102-71067384	ENSG00000134007	ADAM20	0.983699544704027	true	protein_coding	-	No
rs6806253;rs8179974	4	chr3:128198270-128399918	ENSG00000198685	C3orf27	0.9840542981455254	true	protein_coding	rs8180032	No
rs868868	4	chr1:151735445-151804348	ENSG00000143365	RORC	0.9846967978267072	false	protein_coding+processed_transcript	rs868866;rs1521186	No
rs2274911;rs339331;rs339343	2	chr6:117113248-117253326	ENSG00000173612	GPRC6A	0.9854104978184088	true	protein_coding	-	No
rs11765552;rs11768309;rs6465658;rs6967926;rs6977321;rs7804318;rs7808528	3	chr7:97736197-97922275	ENSG00000164715	LMTK2	0.9857483957299141	true	protein_coding+processed_transcript	rs2291748	No
rs10755578;rs1112444;rs376563;rs487060;rs505870;rs518295;rs539958;rs622217;rs668871;rs675162;rs9364558	4	chr6:160769300-161087407	ENSG00000146477	SLC22A3	0.9861980956202598	true	protein_coding	rs316024	No
rs2454107	4	chr5:148651434-148783765	ENSG00000145882	PCYOX1L	0.9875519289651687	true	protein_coding+nonsense_mediated_decay+retained_intron	rs2438490	No
rs1218582;rs1891805	3	chr1:154679902-154928599	ENSG00000143603	KCNN3	0.9875618680932279	true	protein_coding	rs1106236	No
rs868868	4	chr1:151735445-151804348	ENSG00000203288	-	0.9891640974938801	false	antisense	-	No
rs10190310;rs11883500;rs2292884;rs6760963	3	chr2:238394071-238510257	ENSG00000071677	PRLH	0.9911157626939305	false	protein_coding	-	No
rs185397	2	chr16:58741035-59142878	ENSG00000245768	-	0.9938262116449157	false	lincRNA	-	No
rs6545977	4	chr2:62900986-64054977	ENSG00000242412	DBIL5P2	0.9941133410281959	false	processed_transcript+transcribed_processed_pseudogene	-	No
rs4490165;rs7577534	2	chr2:62727356-62889789	ENSG00000226622	-	0.9942184285298484	true	antisense	-	No
rs10100297	2	chr8:89044237-89749363	ENSG00000253553	-	0.9942491646976178	false	processed_transcript	-	No
rs4976790	1	chr5:177664619-178017556	ENSG00000050767	COL23A1	0.9949577557864195	true	protein_coding+processed_transcript	-	No
rs6579003;rs7481129	1	chr11:2185159-2193107	ENSG00000180176	TH	0.9950487226251727	true	protein_coding+nonsense_mediated_decay+retained_intron	-	No
rs3821747	3	chr3:170136653-170626482	ENSG00000013297	CLDN11	0.997118820050535	false	protein_coding+retained_intron+processed_transcript	-	No
rs6799720	2	chr3:145782358-145881440	ENSG00000232013	-	0.9974747242662682	false	protein_coding	-	No
rs4325349	2	chr12:52626304-52715182	ENSG00000170523	KRT83	0.9978713758849652	true	protein_coding	-	No
rs1048169	3	chr9:18927656-19103117	ENSG00000155875	FAM154A	0.9981457500628004	false	protein_coding	rs7860467	No
rs2283119	1	chr8:17913934-17942494	ENSG00000104763	ASAH1	0.99827109127337	true	protein_coding+processed_transcript+retained_intron	rs6586684	No
rs11568311	12	chr16:66754796-67043661	ENSG00000172828	CES3	0.99828920188184	false	protein_coding	-	No
rs6573971	5	chr14:70792102-71067384	ENSG00000139985	ADAM21	0.998475500635703	false	protein_coding	-	No
rs10755578;rs1112444;rs376563;rs487060;rs505870;rs518295;rs539958;rs622217;rs668871;rs675162;rs9364558	4	chr6:160769300-161087407	ENSG00000213071	LPAL2	0.9986505448303561	true	transcribed_unprocessed_pseudogene+processed_transcript	rs415317	No
rs17122571	8	chr12:48366748-48745197	ENSG00000177875	C12orf68	0.9990984682128194	false	protein_coding	rs4760619	No
rs11316	4	chr7:73183328-73280223	ENSG00000175877	WBSCR28	0.9993069779009525	false	protein_coding+nonsense_mediated_decay	-	No
rs17122571	8	chr12:48366748-48745197	ENSG00000187166	H1FNT	0.9993729932487784	false	protein_coding	-	No
rs8134378;rs914187	4	chr21:38437942-45746674	ENSG00000183486	MX2	0.9996997385389566	true	protein_coding+processed_transcript+retained_intron	rs982872	No
rs2045624;rs4245739	4	chr1:204391756-204654861	ENSG00000170382	LRRN2	0.9998474969839904	false	protein_coding+processed_transcript	rs2997505	No
rs11568311	12	chr16:66754796-67043661	ENSG00000168748	CA7	0.9998664457332824	false	protein_coding+nonsense_mediated_decay	-	No
rs9397585	1	chr6:153331857-153452384	ENSG00000091844	RGS17	0.9999350519577391	true	protein_coding	rs596359	No
