Locus	Nr of genes in locus	Chromosome and position	Ensembl Gene ID	Gene symbol	Nominal P value	Gene closest to lead SNP	Gene bio-type	Top cis eQTL SNP (Westra et al. Nature Genetics 2014)	False discovery rate < 5%
rs3829166	14	chr10:74766975-75385711	ENSG00000166343	ZMYND17	0.39705604189734367	false	nonsense_mediated_decay+protein_coding	-	No
rs3825393	5	chr12:109826524-110035067	ENSG00000174527	MYO1H	0.40061789438897055	true	protein_coding+processed_transcript+retained_intron	-	No
rs7567304	2	chr2:10710892-10831957	ENSG00000243819	-	0.4111756527566198	false	scRNA_pseudogene	-	No
rs6512130	6	chr19:9434873-9650402	ENSG00000130818	ZNF426	0.41126194410534306	false	protein_coding	rs7255853	No
rs2130779;rs4468286	1	chr10:122938214-122945480	ENSG00000227143	-	0.41395746644920406	true	lincRNA	-	No
rs17122571	8	chr12:48366748-48745197	ENSG00000152556	PFKM	0.4155336343552911	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs7134878	No
rs6512130	6	chr19:9434873-9650402	ENSG00000188321	ZNF559	0.41926361720504396	false	protein_coding	rs12150875	No
rs2066827	1	chr12:12867992-12875305	ENSG00000111276	CDKN1B	0.4195612607885374	true	processed_transcript+protein_coding	rs34329;rs11055034	No
rs2454107	4	chr5:148651434-148783765	ENSG00000157510	AFAP1L1	0.4328259777807013	false	retained_intron+protein_coding+processed_transcript	rs13436354	No
rs11568311	12	chr16:66754796-67043661	ENSG00000135720	DYNC1LI2	0.4377263163687365	false	protein_coding	rs12600097	No
rs2454107	4	chr5:148651434-148783765	ENSG00000127743	IL17B	0.44448029140572914	false	processed_transcript+protein_coding	-	No
rs1436642;rs17023964;rs17024046;rs1809632;rs6551427;rs6769886;rs6788255;rs6798262	2	chr3:87276421-87325737	ENSG00000064835	POU1F1	0.45512345880335003	false	protein_coding	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000156042	TTC18	0.4556552207862757	false	protein_coding+processed_transcript	-	No
rs7894521	1	chr10:11784365-11806069	ENSG00000134463	ECHDC3	0.45608558527132836	false	protein_coding+processed_transcript	rs3829154	No
rs6573971	5	chr14:70792102-71067384	ENSG00000133983	COX16	0.466910994429088	false	protein_coding+processed_transcript+nonsense_mediated_decay	rs12889575	No
rs3829166	14	chr10:74766975-75385711	ENSG00000244365	-	0.47699267964281294	false	processed_transcript	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000162614	NEXN	0.47755993688818904	false	protein_coding+processed_transcript	rs1166698	No
rs12653946	1	chr5:1887446-1900607	ENSG00000249326	-	0.4904752003216807	true	antisense	-	No
rs11689112	1	chr2:120997640-121052285	ENSG00000144118	RALB	0.500814629287053	true	protein_coding+nonsense_mediated_decay+processed_transcript	rs2289172	No
rs4698932	1	chr4:106067032-106200973	ENSG00000168769	TET2	0.51337361061401	true	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	-	No
rs1534642	3	chr4:74347400-74486348	ENSG00000079557	AFM	0.5179117881090721	false	protein_coding+retained_intron	-	No
rs11247571	1	chr17:906758-1090616	ENSG00000159842	ABR	0.5297396067272386	true	protein_coding	rs2440743;rs2262156	No
rs6512130	6	chr19:9434873-9650402	ENSG00000174652	ZNF266	0.5313520258535962	true	protein_coding	rs8107606;rs6512121	No
rs3897474	1	chr13:95226308-95248511	ENSG00000088451	TGDS	0.5331624827978958	true	protein_coding+processed_transcript+retained_intron	rs9524526	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000099337	KCNK6	0.5373670141863247	false	protein_coding	rs12608722	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000138111	TMEM180	0.5458293535809443	true	protein_coding+processed_transcript	rs3740416	No
rs9925556	2	chr16:2867164-2882285	ENSG00000162078	ZG16B	0.5458465319859657	true	protein_coding	rs1541449	No
rs1341051	4	chr10:112629626-112773425	ENSG00000203497	-	0.5549418830113654	false	antisense	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000107758	PPP3CB	0.5612580422316756	false	protein_coding+processed_transcript	-	No
rs12771627;rs12782469;rs4962416	2	chr10:126630692-126849739	ENSG00000019995	ZRANB1	0.5649577189611779	false	protein_coding+processed_transcript	rs4962411	No
rs2412106	5	chr14:65213002-65569413	ENSG00000139998	RAB15	0.5754414161311602	true	protein_coding+processed_transcript+retained_intron	rs4899161	No
rs1320961	2	chr6:135281516-135540311	ENSG00000118513	MYB	0.5777100183551848	true	protein_coding+nonsense_mediated_decay+processed_transcript	rs7757388	No
rs847377	1	chr7:16899029-16921611	ENSG00000173467	AGR3	0.5791764908751822	true	protein_coding+retained_intron	rs3807496	No
rs6702939	9	chr1:77747736-78604133	ENSG00000077254	USP33	0.5992455741037106	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs872342	No
rs6702939	9	chr1:77747736-78604133	ENSG00000162616	DNAJB4	0.602639953156003	false	processed_transcript+protein_coding	-	No
rs6799720	2	chr3:145782358-145881440	ENSG00000152952	PLOD2	0.6067896997121994	true	protein_coding+retained_intron+nonsense_mediated_decay	rs11928424;rs2089965	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168890	TMEM150A	0.6069299034042648	false	protein_coding+retained_intron+nonsense_mediated_decay	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000166592	RRAD	0.609777230845952	false	protein_coding	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000258122	-	0.6113454969215079	false	processed_transcript	-	No
rs11168936;rs11168962	2	chr12:49582519-49676768	ENSG00000257960	-	0.6163699684995034	true	lincRNA	-	No
rs2555004	1	chr12:114791736-114846247	ENSG00000089225	TBX5	0.6468612127585227	true	protein_coding+processed_transcript	rs1896001	No
rs17122571	8	chr12:48366748-48745197	ENSG00000139219	COL2A1	0.651120316925739	false	protein_coding+processed_transcript+retained_intron	-	No
rs1218582;rs1891805	3	chr1:154679902-154928599	ENSG00000163346	PBXIP1	0.653879545567176	false	protein_coding+processed_transcript+nonsense_mediated_decay	rs869506	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000112096	SOD2	0.6598126768000397	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs7855;rs7755113	No
rs868868	4	chr1:151735445-151804348	ENSG00000143450	OAZ3	0.6659471276050835	false	protein_coding+processed_transcript	-	No
rs10936845	1	chr3:174156363-175523428	ENSG00000177694	NAALADL2	0.6798636120749321	true	processed_transcript+retained_intron+protein_coding+nonsense_mediated_decay	rs4280646	No
rs12360799	1	chr11:10594638-10715535	ENSG00000072952	MRVI1	0.6799831873942674	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs11042883	No
rs1476161	8	chr17:8043809-8173809	ENSG00000178977	LINC00324	0.6858571472506261	false	antisense	rs3027246	No
rs1341051	4	chr10:112629626-112773425	ENSG00000214413	BBIP1	0.6874403975159619	false	protein_coding+nonsense_mediated_decay+retained_intron	-	No
rs11489585	5	chr7:77166592-77586818	ENSG00000135211	TMEM60	0.6927126704115545	false	protein_coding	rs7953	No
rs2274911;rs339331;rs339343	2	chr6:117113248-117253326	ENSG00000185002	RFX6	0.6950945174291059	true	retained_intron+protein_coding+processed_transcript	-	No
rs6512130	6	chr19:9434873-9650402	ENSG00000188629	ZNF559-ZNF177	0.7109141887878138	false	protein_coding	rs6512109	No
rs12155172	1	chr7:20821903-20826505	ENSG00000164651	SP8	0.7110379267591147	true	protein_coding	rs6959944	No
rs9623117	2	chr22:40440821-40731811	ENSG00000228599	-	0.7115469954551265	false	processed_pseudogene	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000246777	-	0.7148678939505558	false	lincRNA	-	No
rs7934971	1	chr11:58938903-58976060	ENSG00000110042	DTX4	0.7276219925022622	true	protein_coding+processed_transcript+retained_intron	-	No
rs12938215	5	chr17:35441923-35969488	ENSG00000161326	DUSP14	0.7282136847986591	false	protein_coding+retained_intron	rs2522972	No
rs6545977	4	chr2:62900986-64054977	ENSG00000115504	EHBP1	0.728531996952472	false	protein_coding+retained_intron+processed_transcript	-	No
rs11765552;rs11768309;rs6465658;rs6967926;rs6977321;rs7804318;rs7808528	3	chr7:97736197-97922275	ENSG00000205356	TECPR1	0.7599543312373848	false	protein_coding+retained_intron+processed_transcript	-	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000163131	CTSS	0.7720454712056214	true	protein_coding+processed_transcript	rs2867301	No
rs10755578;rs1112444;rs376563;rs487060;rs505870;rs518295;rs539958;rs622217;rs668871;rs675162;rs9364558	4	chr6:160769300-161087407	ENSG00000198670	LPA	0.7780042091857624	true	protein_coding+processed_transcript	-	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168899	VAMP5	0.7889547618157658	false	protein_coding+retained_intron	rs10202828	No
rs8069005	6	chr17:28521337-28903499	ENSG00000197689	TBC1D29	0.7943140365789605	false	protein_coding	-	No
rs6121589	1	chr20:60985293-61002589	ENSG00000130701	C20orf151	0.7955752922599446	true	protein_coding	-	No
rs912353	3	chr9:127019885-127177723	ENSG00000227200	-	0.8137798508875151	false	sense_intronic	-	No
rs11489585	5	chr7:77166592-77586818	ENSG00000214293	-	0.8148681842540247	true	processed_transcript	-	No
rs6011058	2	chr20:62329996-62370456	ENSG00000197114	ZGPAT	0.8163360862699801	true	protein_coding+retained_intron+processed_transcript	rs2261092;rs6062509;rs2738768;rs817317	No
rs1242112	1	chr14:93170152-93215047	ENSG00000100600	LGMN	0.8236939924480868	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	-	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000146453	PNLDC1	0.8280259434320232	false	protein_coding	-	No
rs651164	1	chr6:160542821-160579750	ENSG00000175003	SLC22A1	0.833734028068034	true	protein_coding+nonsense_mediated_decay+retained_intron	rs2297372;rs662301	No
rs11568311	12	chr16:66754796-67043661	ENSG00000172831	CES2	0.8399186205377441	true	protein_coding	rs6499106	No
rs6545977	4	chr2:62900986-64054977	ENSG00000143951	WDPCP	0.8403677146956412	false	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	-	No
rs1800057	5	chr11:107879459-108338258	ENSG00000166323	C11orf65	0.8425230687734611	false	protein_coding+nonsense_mediated_decay+processed_transcript	rs4988023	No
rs3746337	6	chr20:25176329-25604811	ENSG00000197586	ENTPD6	0.8536248422480719	true	protein_coding+processed_transcript	-	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000167641	PPP1R14A	0.8590951268767677	true	protein_coding	rs1821284	No
rs3829166	14	chr10:74766975-75385711	ENSG00000166321	NUDT13	0.8616670127198343	true	processed_transcript+protein_coding	rs11000556	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000115486	GGCX	0.8644398778649272	true	processed_transcript+protein_coding+nonsense_mediated_decay	rs12714147	No
rs8069005	6	chr17:28521337-28903499	ENSG00000108576	SLC6A4	0.8651297357906621	false	protein_coding	-	No
rs8134378;rs914187	4	chr21:38437942-45746674	ENSG00000182240	BACE2	0.8680066039109643	true	protein_coding+processed_transcript+retained_intron	rs2837964;rs2705572	No
rs6512130	6	chr19:9434873-9650402	ENSG00000247585	-	0.8694105053666277	false	lincRNA	-	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143387	CTSK	0.8736377602925098	true	protein_coding+processed_transcript	rs11204725	No
rs6545977	4	chr2:62900986-64054977	ENSG00000115507	OTX1	0.8807166529313925	true	protein_coding+retained_intron+nonsense_mediated_decay	rs17407696	No
rs3746337	6	chr20:25176329-25604811	ENSG00000100997	ABHD12	0.8823873581458836	false	protein_coding+processed_transcript	rs1541061;rs2050097	No
rs8134378;rs914187	4	chr21:38437942-45746674	ENSG00000160183	TMPRSS3	0.8835759734463524	true	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	rs2277798;rs2839502;rs1788454	No
rs8069005	6	chr17:28521337-28903499	ENSG00000108582	CPD	0.8881200704218312	false	protein_coding	-	No
rs2011345	1	chr1:171283347-171311223	ENSG00000076258	FMO4	0.8938112892879431	true	processed_transcript+protein_coding	rs1018392;rs11803918	No
rs8072254	1	chr17:68164814-68176160	ENSG00000123700	KCNJ2	0.90438106931785	true	protein_coding	rs4968799	No
rs10755578;rs1112444;rs376563;rs487060;rs505870;rs518295;rs539958;rs622217;rs668871;rs675162;rs9364558	4	chr6:160769300-161087407	ENSG00000256731	-	0.9061756230404454	false	pseudogene	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000221817	-	0.9070929465624868	false	antisense	rs12462622	No
rs7992643	1	chr13:100258919-100549387	ENSG00000125246	CLYBL	0.9098860757753604	true	protein_coding	rs1107450	No
rs3829166	14	chr10:74766975-75385711	ENSG00000227540	-	0.910380524362773	false	processed_transcript	-	No
rs1250105	6	chr4:1160720-1381837	ENSG00000249548	-	0.921552282997504	false	antisense	-	No
rs13395911	1	chr2:233470767-233547491	ENSG00000115468	EFHD1	0.9233653285455756	true	protein_coding+nonsense_mediated_decay	rs7578760	No
rs3798439	4	chr6:76005626-76629254	ENSG00000118407	FILIP1	0.9236778983370251	false	protein_coding+processed_transcript	-	No
rs10460109	1	chr18:72922710-73001905	ENSG00000179981	TSHZ1	0.9256435649706076	true	protein_coding	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000172824	CES4A	0.927160177499605	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	-	No
rs8069005	6	chr17:28521337-28903499	ENSG00000231421	-	0.9282287091435576	false	protein_coding	-	No
rs2412106	5	chr14:65213002-65569413	ENSG00000070182	SPTB	0.9286281483288643	false	processed_transcript+protein_coding+retained_intron	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000154027	AK5	0.9301328449199298	false	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	rs4949655;rs4949655	No
rs1571805	1	chr9:124329336-124547809	ENSG00000136848	DAB2IP	0.9354331410563574	true	protein_coding+processed_transcript	rs2797347;rs12352132	No
rs11489585	5	chr7:77166592-77586818	ENSG00000006576	PHTF2	0.9406892378115003	false	protein_coding+processed_transcript+retained_intron	-	No
rs6673687;rs708723	4	chr1:205626979-205782876	ENSG00000133065	SLC41A1	0.9408234033795198	false	protein_coding+processed_transcript	rs823080	No
rs6702939	9	chr1:77747736-78604133	ENSG00000180488	FAM73A	0.9415344942527376	false	protein_coding+processed_transcript	-	No
rs17239945	1	chr8:25699246-25902913	ENSG00000221818	EBF2	0.9418873811672447	true	protein_coding+retained_intron	-	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000099338	CATSPERG	0.9454188294302915	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000138286	FAM149B1	0.9476274714966675	false	protein_coding+processed_transcript	-	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000248003	-	0.95161826853409	true	lincRNA	-	No
rs4490165;rs7577534	2	chr2:62727356-62889789	ENSG00000186889	TMEM17	0.9562195282567425	true	protein_coding+retained_intron	-	No
rs11986220;rs6983267	1	chr8:128698588-128746213	ENSG00000249375	-	0.9569608209636908	true	processed_transcript	-	No
rs17122571	8	chr12:48366748-48745197	ENSG00000257955	-	0.9659605646816146	true	protein_coding	-	No
rs10486567;rs7808935	1	chr7:27870192-28220362	ENSG00000153814	JAZF1	0.9675492232924972	true	protein_coding+processed_transcript+nonsense_mediated_decay	rs2110524	No
rs2454107	4	chr5:148651434-148783765	ENSG00000145882	PCYOX1L	0.9725064438965622	true	protein_coding+nonsense_mediated_decay+retained_intron	rs2438490	No
rs9925556	2	chr16:2867164-2882285	ENSG00000007038	PRSS21	0.9733913579099631	false	protein_coding	rs12709125;rs7184322	No
rs868868	4	chr1:151735445-151804348	ENSG00000143365	RORC	0.9734124312563708	false	protein_coding+processed_transcript	rs868866;rs1521186	No
rs11980923	1	chr7:90013035-90142716	ENSG00000157224	CLDN12	0.9734685341325202	true	protein_coding+retained_intron+processed_transcript	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000236756	C10orf103	0.9766018099763698	false	protein_coding	-	No
rs12631116	1	chr3:195590235-195638816	ENSG00000061938	TNK2	0.9767535399695388	true	protein_coding+retained_intron+processed_transcript+nonsense_mediated_decay	rs7610260	No
rs1476161	8	chr17:8043809-8173809	ENSG00000220205	VAMP2	0.977384359260092	false	processed_transcript+protein_coding+retained_intron	rs3027251	No
rs6573971	5	chr14:70792102-71067384	ENSG00000134007	ADAM20	0.9783470824639795	true	protein_coding	-	No
rs6806253;rs8179974	4	chr3:128198270-128399918	ENSG00000198685	C3orf27	0.9826703783611689	true	protein_coding	rs8180032	No
rs2274911;rs339331;rs339343	2	chr6:117113248-117253326	ENSG00000173612	GPRC6A	0.985654291976897	true	protein_coding	-	No
rs1218582;rs1891805	3	chr1:154679902-154928599	ENSG00000143603	KCNN3	0.9859490079328971	true	protein_coding	rs1106236	No
rs11765552;rs11768309;rs6465658;rs6967926;rs6977321;rs7804318;rs7808528	3	chr7:97736197-97922275	ENSG00000164715	LMTK2	0.9872556977868103	true	protein_coding+processed_transcript	rs2291748	No
rs10755578;rs1112444;rs376563;rs487060;rs505870;rs518295;rs539958;rs622217;rs668871;rs675162;rs9364558	4	chr6:160769300-161087407	ENSG00000146477	SLC22A3	0.9873612410030702	true	protein_coding	rs316024	No
rs10100297	2	chr8:89044237-89749363	ENSG00000156103	MMP16	0.9878819227259352	true	protein_coding+processed_transcript+retained_intron	rs17728649	No
rs868868	4	chr1:151735445-151804348	ENSG00000203288	-	0.9907522154087929	false	antisense	-	No
rs10190310;rs11883500;rs2292884;rs6760963	3	chr2:238394071-238510257	ENSG00000071677	PRLH	0.9925560321960646	false	protein_coding	-	No
rs185397	2	chr16:58741035-59142878	ENSG00000245768	-	0.9932026715648223	false	lincRNA	-	No
rs6579003;rs7481129	1	chr11:2185159-2193107	ENSG00000180176	TH	0.9937278151738889	true	protein_coding+nonsense_mediated_decay+retained_intron	-	No
rs6799720	2	chr3:145782358-145881440	ENSG00000232013	-	0.9941838328726822	false	protein_coding	-	No
rs6545977	4	chr2:62900986-64054977	ENSG00000242412	DBIL5P2	0.9943567428929094	false	processed_transcript+transcribed_processed_pseudogene	-	No
rs2283119	1	chr8:17913934-17942494	ENSG00000104763	ASAH1	0.9945501670100296	true	protein_coding+processed_transcript+retained_intron	rs6586684	No
rs4976790	1	chr5:177664619-178017556	ENSG00000050767	COL23A1	0.9945542856459259	true	protein_coding+processed_transcript	-	No
rs10100297	2	chr8:89044237-89749363	ENSG00000253553	-	0.9947251855627159	false	processed_transcript	-	No
rs4490165;rs7577534	2	chr2:62727356-62889789	ENSG00000226622	-	0.9952105565002732	true	antisense	-	No
rs4325349	2	chr12:52626304-52715182	ENSG00000170523	KRT83	0.9965380175741247	true	protein_coding	-	No
rs3821747	3	chr3:170136653-170626482	ENSG00000013297	CLDN11	0.9970100434103779	false	protein_coding+retained_intron+processed_transcript	-	No
rs10755578;rs1112444;rs376563;rs487060;rs505870;rs518295;rs539958;rs622217;rs668871;rs675162;rs9364558	4	chr6:160769300-161087407	ENSG00000213071	LPAL2	0.9973676928935936	true	transcribed_unprocessed_pseudogene+processed_transcript	rs415317	No
rs6573971	5	chr14:70792102-71067384	ENSG00000139985	ADAM21	0.9975977700609163	false	protein_coding	-	No
rs1048169	3	chr9:18927656-19103117	ENSG00000155875	FAM154A	0.9982881520705985	false	protein_coding	rs7860467	No
rs11316	4	chr7:73183328-73280223	ENSG00000175877	WBSCR28	0.9984951854852717	false	protein_coding+nonsense_mediated_decay	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000172828	CES3	0.9987446135766959	false	protein_coding	-	No
rs17122571	8	chr12:48366748-48745197	ENSG00000177875	C12orf68	0.9990233936611563	false	protein_coding	rs4760619	No
rs17122571	8	chr12:48366748-48745197	ENSG00000187166	H1FNT	0.9993257563787468	false	protein_coding	-	No
rs8134378;rs914187	4	chr21:38437942-45746674	ENSG00000183486	MX2	0.9994628121393875	true	protein_coding+processed_transcript+retained_intron	rs982872	No
rs11568311	12	chr16:66754796-67043661	ENSG00000168748	CA7	0.9996486876653242	false	protein_coding+nonsense_mediated_decay	-	No
rs2045624;rs4245739	4	chr1:204391756-204654861	ENSG00000170382	LRRN2	0.999888731918712	false	protein_coding+processed_transcript	rs2997505	No
rs9397585	1	chr6:153331857-153452384	ENSG00000091844	RGS17	0.9999751020271388	true	protein_coding	rs596359	No
